Portfolio Name,As of Date,MGREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index
Global Real Estate Portfolio,09/30/2023,"10,990.01","12,473.07"
Global Real Estate Portfolio,08/31/2023,"11,644.50","13,284.78"
Global Real Estate Portfolio,07/31/2023,"11,971.75","13,745.70"
Global Real Estate Portfolio,06/30/2023,"11,589.96","13,246.70"
Global Real Estate Portfolio,05/31/2023,"11,262.72","12,861.23"
Global Real Estate Portfolio,04/30/2023,"11,780.86","13,463.93"
Global Real Estate Portfolio,03/31/2023,"11,508.15","13,214.47"
Global Real Estate Portfolio,02/28/2023,"11,726.32","13,659.34"
Global Real Estate Portfolio,01/31/2023,"12,108.10","14,289.97"
Global Real Estate Portfolio,12/31/2022,"11,153.63","13,112.33"
Global Real Estate Portfolio,11/30/2022,"11,494.89","13,488.68"
Global Real Estate Portfolio,10/31/2022,"10,723.00","12,637.82"
Global Real Estate Portfolio,09/30/2022,"10,430.93","12,271.49"
Global Real Estate Portfolio,08/31/2022,"11,891.26","14,012.21"
Global Real Estate Portfolio,07/31/2022,"12,725.74","14,984.52"
Global Real Estate Portfolio,06/30/2022,"11,870.40","13,879.12"
Global Real Estate Portfolio,05/31/2022,"13,017.81","15,200.60"
Global Real Estate Portfolio,04/30/2022,"13,768.83","15,891.39"
Global Real Estate Portfolio,03/31/2022,"14,540.72","16,812.42"
Global Real Estate Portfolio,02/28/2022,"13,956.59","16,090.91"
Global Real Estate Portfolio,01/31/2022,"14,332.10","16,498.14"
Global Real Estate Portfolio,12/31/2021,"15,083.13","17,503.83"
Global Real Estate Portfolio,11/30/2021,"14,107.34","16,461.63"
Global Real Estate Portfolio,10/31/2021,"14,505.36","16,838.71"
Global Real Estate Portfolio,09/30/2021,"13,812.52","15,888.79"
Global Real Estate Portfolio,08/31/2021,"14,608.54","16,867.00"
Global Real Estate Portfolio,07/31/2021,"14,520.10","16,648.25"
Global Real Estate Portfolio,06/30/2021,"14,092.60","16,033.55"
Global Real Estate Portfolio,05/31/2021,"13,959.93","15,908.97"
Global Real Estate Portfolio,04/30/2021,"13,665.11","15,629.02"
Global Real Estate Portfolio,03/31/2021,"12,795.38","14,686.48"
Global Real Estate Portfolio,02/28/2021,"12,485.81","14,279.39"
Global Real Estate Portfolio,01/31/2021,"12,058.31","13,769.52"
Global Real Estate Portfolio,12/31/2020,"12,161.50","13,881.74"
Global Real Estate Portfolio,11/30/2020,"11,811.90","13,411.63"
Global Real Estate Portfolio,10/31/2020,"9,970.33","11,848.32"
Global Real Estate Portfolio,09/30/2020,"10,401.95","12,256.13"
Global Real Estate Portfolio,08/31/2020,"10,776.02","12,649.75"
Global Real Estate Portfolio,07/31/2020,"10,459.50","12,338.75"
Global Real Estate Portfolio,06/30/2020,"10,416.34","12,005.52"
Global Real Estate Portfolio,05/31/2020,"10,128.59","11,704.48"
Global Real Estate Portfolio,04/30/2020,"10,387.56","11,677.36"
Global Real Estate Portfolio,03/31/2020,"9,538.72","10,907.24"
