SECURITY NAME,% OF PORTFOLIO,Fund_Id
510 Asset Backed 2021-NPL1 Trust,0.23,F-101
510 Asset Backed 2021-NPL2 Trust,0.31,F-101
ABFC Trust,0.09,F-101
AES Panama Generation Holdings SRL,0.49,F-101
AMSR Trust,0.31,F-101
APA Infrastructure Ltd.,0.21,F-101
ASR Nederland NV,0.41,F-101
"AT&T, Inc.",0.19,F-101
AUST 10Y BOND FUT DEC23 XSFE 20231215,-0.02,F-101
AXA SA,0.31,F-101
"Acrisure LLC/Acrisure Finance, Inc.",0.19,F-101
"Advisor Group Holdings, Inc.",0.18,F-101
AerCap Ireland Capital DAC/AerCap Global Aviation Trust,0.27,F-101
Africa Finance Corp.,0.16,F-101
African Export-Import Bank,0.24,F-101
Air Canada,0.17,F-101
Akelius Residential Property Financing BV,0.33,F-101
Allied Universal Holdco LLC/Allied Universal Finance Corp.,0.1,F-101
"Ally Financial, Inc.",0.59,F-101
"Ally Financial, Inc.",0.14,F-101
Alternative Loan Trust,0.01,F-101
Alternative Loan Trust,0,F-101
Alternative Loan Trust,0.01,F-101
Alternative Loan Trust,0.02,F-101
Alternative Loan Trust,0.01,F-101
Alternative Loan Trust,0.01,F-101
Alternative Loan Trust,0.01,F-101
Alternative Loan Trust,0,F-101
Alternative Loan Trust PAC,0,F-101
"American Airlines, Inc./AAdvantage Loyalty IP Ltd.",0.33,F-101
Apidos XXXV,0.06,F-101
"Arches Buyer, Inc.",0.15,F-101
Asset-Backed Securities Corp. Home Equity Loan Trust,0,F-101
Assicurazioni Generali SpA,0.42,F-101
Aurizon Network Pty Ltd.,0.13,F-101
Australia & New Zealand Banking Group Ltd.,0.48,F-101
Australia Government Bond,1.26,F-101
Aviva PLC,0.23,F-101
BANK MONTREAL DISC COML PAPER,0.5,F-101
BAT Capital Corp.,0.29,F-101
BAYER AG SR UNSECURED REGS 05/33 4.625,0.38,F-101
BAYTEX ENERGY Corp. SR UNSECURED 144A 04/30 8.5,0.13,F-101
BCAP LLC Trust,0.01,F-101
BNP Paribas SA,0.32,F-101
BNP Paribas SA,0.3,F-101
BNP Paribas SA,0.22,F-101
BNP Paribas SA,0.86,F-101
BP Capital Markets PLC,0.27,F-101
BPCE SA,0.13,F-101
BPCE SA,0.24,F-101
BPCE SA,0.54,F-101
BREAN ASSET BACKED SECURITIES BABS 2023 SRM1 M1 144A,0.34,F-101
BREAN ASSET BACKED SECURITIES BABS 2023 SRM1 M2 144A,0.21,F-101
Banc of America Alternative Loan Trust,0.01,F-101
Banc of America Funding Trust,0,F-101
Banc of America Funding Trust,0.04,F-101
Banc of America Funding Trust,0,F-101
Banco Actinver SA/Grupo GICSA SAB de CV,0.14,F-101
Banco Santander SA,0.33,F-101
Banco Santander SA,0.23,F-101
Banco Santander SA,0.64,F-101
Bank of America Corp.,0.19,F-101
Banna RMBS DAC,0.13,F-101
Banque Federative du Credit Mutuel SA,0.26,F-101
Banque Ouest Africaine de Developpement,0.27,F-101
Banque Ouest Africaine de Developpement,0.06,F-101
Barclays PLC,0.27,F-101
Bayview Financial Revolving Asset Trust,0.16,F-101
Bear Stearns ARM Trust,0,F-101
Bear Stearns Asset-Backed Securities Trust,0,F-101
Bellemeade Re 2018-3 Ltd.,0.24,F-101
"BioMarin Pharmaceutical, Inc. (Convertible)",0.25,F-101
Blackbird Capital Aircraft Lease Securitization Ltd.,0.27,F-101
Blackstone Property Partners Europe Holdings Sarl,0.12,F-101
Blackstone Property Partners Europe Holdings Sarl,0.2,F-101
Boston Lending Trust,0.33,F-101
Brazil Notas do Tesouro Nacional,1.83,F-101
Brean Asset Backed Securities Trust,0.32,F-101
Business Loan Express Business Loan Trust,0.04,F-101
CASCADE FUNDING MORTGAGE TRUST CFMT 2023 HB12 M4 144A,0.55,F-101
CBAM 2021-14 Ltd.,0.06,F-101
CG-CCRE Commercial Mortgage Trust,0.07,F-101
CHARLES SCHWAB Corp. SR UNSECURED 08/34 VAR,0.24,F-101
CHL Mortgage Pass-Through Trust,0.01,F-101
CHL Mortgage Pass-Through Trust,0.03,F-101
CHL Mortgage Pass-Through Trust,0.05,F-101
CIM Trust,0.32,F-101
CONCENTRIX Corp. CONCENTRIX Corp.,0.5,F-101
COOF Securitization Trust II IO,0.02,F-101
COOF Securitization Trust IO,0.02,F-101
CREDIT SUISSE FIRST BOSTON MOR CSFB 2005 CF1 B 144A,0.88,F-101
CSFB Mortgage-Backed Pass-Through Certificates,0.03,F-101
CSFB Mortgage-Backed Pass-Through Certificates,0.03,F-101
CWABS Asset-Backed Certificates Trust,0.17,F-101
CaixaBank SA,0.83,F-101
