Portfolio_Name,As_of_Date,Fund_ID,Fund,Benchmark,Fund_Return,Benchmark_Return
Global Real Estate Portfolio,2023-09-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12473,10990
Global Real Estate Portfolio,2023-08-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,13285,11645
Global Real Estate Portfolio,2023-07-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,13746,11972
Global Real Estate Portfolio,2023-06-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,13247,11590
Global Real Estate Portfolio,2023-05-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12861,11263
Global Real Estate Portfolio,2023-04-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,13464,11781
Global Real Estate Portfolio,2023-03-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,13214,11508
Global Real Estate Portfolio,2023-02-28,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,13659,11726
Global Real Estate Portfolio,2023-01-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,14290,12108
Global Real Estate Portfolio,2022-12-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,13112,11154
Global Real Estate Portfolio,2022-11-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,13489,11495
Global Real Estate Portfolio,2022-10-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12638,10723
Global Real Estate Portfolio,2022-09-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12271,10431
Global Real Estate Portfolio,2022-08-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,14012,11891
Global Real Estate Portfolio,2022-07-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,14985,12726
Global Real Estate Portfolio,2022-06-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,13879,11870
Global Real Estate Portfolio,2022-05-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,15201,13018
Global Real Estate Portfolio,2022-04-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,15891,13769
Global Real Estate Portfolio,2022-03-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,16812,14541
Global Real Estate Portfolio,2022-02-28,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,16091,13957
Global Real Estate Portfolio,2022-01-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,16498,14332
Global Real Estate Portfolio,2021-12-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,17504,15083
Global Real Estate Portfolio,2021-11-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,16462,14107
Global Real Estate Portfolio,2021-10-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,16839,14505
Global Real Estate Portfolio,2021-09-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,15889,13813
Global Real Estate Portfolio,2021-08-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,16867,14609
Global Real Estate Portfolio,2021-07-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,16648,14520
Global Real Estate Portfolio,2021-06-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,16034,14093
Global Real Estate Portfolio,2021-05-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,15909,13960
Global Real Estate Portfolio,2021-04-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,15629,13665
Global Real Estate Portfolio,2021-03-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,14686,12795
Global Real Estate Portfolio,2021-02-28,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,14279,12486
Global Real Estate Portfolio,2021-01-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,13770,12058
Global Real Estate Portfolio,2020-12-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,13882,12162
Global Real Estate Portfolio,2020-11-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,13412,11812
